Scenario,RMSE,MAE,R2,RobustnessScore,RMSE_Degradation_%
Clean,65.24412166798814,45.745476996276594,0.5211050826038945,100.0,0.0
Missing,78.5691303612366,54.68792137719268,0.30551744278802606,83.04040195941563,20.423309184935114
Noise,68.9612726763013,48.44982976585372,0.4649825026874429,94.60979929160939,5.6972964204022345
Shift,80.19126088654828,56.51889168102766,0.27654498042173636,81.36063823749222,22.909556963035822
Missing + Noise,79.45129245611062,55.863440424897625,0.2898348067906713,82.11838933146291,21.77540355347169
Missing + Shift,85.40194265551176,60.724049646023346,0.17947286178517596,76.39653108497217,30.895995642491737
Noise + Shift,81.00267162232586,57.548184288534394,0.2618304336409,80.54564171931044,24.153210360512244
Missing + Noise + Shift,86.65191718355342,61.85312237064401,0.15527800626828148,75.29449294212675,32.81183801431871
