Method,10% RMSE,20% RMSE,30% RMSE,40% RMSE
Iterative/MICE,71.36717214619377,77.20000359976837,80.49733204622585,84.57576604836363
KNN,69.5171161329301,75.40273301243624,78.09940249322499,83.68790911690391
Mean,72.57563979693217,79.01677972854745,82.76064539529324,86.75441047114151
Median,72.66941982501714,77.86495608227976,82.37262641710169,86.10807486213317
